"","KOD_SZS","NAZWA_ST","WMO_CBDH"
"328",251150280,"TWARDOCICE",94116
"329",251150220,"NOWOGRODZIEC",94123
"330",251150230,"IWINY",94124
"331",251150240,"ZAGRODNO",94125
"332",251150170,"W GLINIEC",94128
"333",251150190,"CHOJN”W",94129
"334",251150160,"PRZEJ S£AW",94133
"335",251150140,"KOåCIELNA WIEå",94135
"336",251150130,"£OZY",94137
"337",251140050,"STRASZ”W",94140
"338",251150120,"BUCZYNA",94142
"339",251150110,"ØAGA—",94144
"340",251150090,"GAWORZYCE",94145
"341",251150070,"STYPU£”W",94149
"342",251150040,"BOROWIEC",94156
"343",251150020,"LUBI CIN",94159
"344",251160290,"JAWOR",94205
"345",251160220,"OBORNIKI åL•SKIE",94221
"346",251160190,"LUBIN",94225
"347",251160180,"åCINAWA",94226
"348",251160140,"RUDNA",94228
"349",251160130,"WYDAWY",94231
"350",251160110,"OSETNO",94234
"351",251160360,"G£OG”W",94236
"352",251160030,"RADOMICKO",94252
"353",251160020,"CZERWONA WIEå",94253
"354",251170310,"W£OCHY",94303
"355",251170270,"BIERUT”W",94306
"356",251170220,"SYC”W",94316
"357",251170160,"OSTRZESZ”W",94321
"358",251170140,"MILICZ",94326
"359",251170130,"ODOLAN”W",94327
"360",251170120,"OSTR”W WIELKOPOLSKI",94329
"361",251170080,"SOB”TKA",94335
"362",251170060,"TRZEBOWA",94339
"363",251170040,"SZELEJEWO",94340
"364",251170020,"CHOCZ",94347
"365",251180240,"JASTRZYGOWICE",94401
"366",251180230,"ROØN”W",94403
"367",251180220,"CISOWA",94405
"368",251180190,"SIEMIANICE",94409
"369",251180180,"SIEMKOWICE",94410
"370",251180160,"OSJAK”W",94416
"371",251180130,"WIDAWA",94422
"372",251180120,"CZARTORYJA",94424
"373",251180070,"SZADEK",94432
"374",251180030,"DOBRA",94443
"375",251180020,"ZBIERSK",94444
"376",251180150,"MIRK”W",94450
"377",251190180,"BOBRY",94502
"378",251190160,"PRZEDB”RZ",94506
"379",251190150,"DOBRYSZYCE",94508
"380",251190090,"LUTOS£AWICE RZ•DOWE",94523
"381",251190080,"KRUSZ”W",94528
"382",251200260,"PILCZYCA",94603
"383",251200170,"CHE£STY",94611
"384",251200080,"BIA£OBRZEGI",94630
"385",251200070,"W”LKA JAGIELCZY—SKA",94631
"386",251200050,"SADKOWICE",94633
"387",251200130,"OPOCZNO",94651
"388",251210240,"BRODY I£ØECKIE",94703
"389",251210230,"STARACHOWICE",94705
"390",251210090,"BARTODZIEJE",94723
"391",251210010,"G”RA KALWARIA",94739
"392",251220190,"K PA",94805
"393",251220150,"£ CZNA",94816
"394",251220060,"CZEMIERNIKI",94829
"395",251220030,"PRZEGALINY DUØE",94835
"396",251220020,"£UK”W",94838
"397",251230150,"DOROHUSK",94908
"398",251230090,"GARBAT”WKA",94913
"399",251230050,"MOSTY",94921
"400",251230060,"UHNIN",94952
"401",250140020,"SIENIAWKA",95001
"402",250150260,"BUK”WKA",95102
"403",250150240,"PACZYN",95104
"404",250150130,"CIECHANOWICE",95122
"405",250150080,"STARA KAMIENICA",95124
"406",250150110,"KACZOR”W",95125
"407",250150060,"R BISZ”W",95130
"408",250150050,"PILCHOWICE",95133
"409",250160650,"MI DZYLESIE",95202
"410",250160630,"MI DZYG”RZE",95207
"411",250160510,"O£DRZYCHOWICE K£ODZKIE",95216
"412",250160470,"LEWIN K£ODZKI",95217
"413",250160410,"BARDO",95223
"414",250160350,"SREBRNA G”RA",95229
"415",250160290,"CHE£MSKO åL•SKIE",95237
"416",250160310,"MIEROSZ”W",95238
"417",250160270,"WALIM",95244
"418",250160220,"JEDLINA-ZDR”J",95247
"419",250160260,"DZIERØONI”W",95248
"420",250160190,"BOGUSZ”W-GORCE",95252
"421",250160150,"KAMIENNA G”RA",95254
"422",250160120,"LUBOMIN",95258
"423",250160030,"BOLK”W",95267
"424",250160450,"KUDOWA-ZDR”J",95283
"425",250170430,"BRANICE",95303
"426",250170420,"WOJNOWICE",95305
"427",250170340,"JARNO£T”WEK",95311
"428",250170290,"DZIEWI TLICE",95318
"429",250170150,"SZYD£OWIEC åL•SKI",95335
"430",250170070,"KUP",95346
"431",250160070,"BOR”W",95348
"432",250180530,"KIETRZ",95411
"433",250180470,"STANOWICE",95415
"434",250180440,"MODZUR”W",95421
"435",250180370,"STARA KUèNIA",95431
"436",250180350,"LIPINY",95435
"437",250180320,"KOèLE",95437
"438",250180290,"TACISZ”W",95442
"439",250180240,"TOSZEK",95450
"440",250180210,"ZIELONA",95458
"441",250180190,"KRUPSKI M£YN",95459
"442",250180060,"SZUMIRAD",95477
"443",250180050,"D BINIEC",95479
"444",250180040,"K£OBUCK",95482
"445",250180010,"B•K”W",95484
"446",250190440,"OåWI CIM",95503
"447",250190370,"CHRZAN”W",95510
"448",250190350,"DZIE∆KOWICE",95512
"449",250190340,"OJC”W",95515
"450",250190320,"CI ØKOWICE",95516
"451",250190270,"CZELADè",95530
"452",250190260,"GOLCZOWICE",95534
"453",250190240,"WOLBROM",95536
"454",250190230,"RYCZ”W",95541
"455",250180250,"BRYNICA",95544
"456",250190180,"PIWO—",95546
"457",250190140,"ØARKI",95559
"458",250190090,"Z£OTY POTOK",95564
"459",250190040,"CIEL TNIKI",95574
"460",250190020,"NIEZNANICE",95575
"461",250190060,"KOBY£CZYCE",95582
"462",250200260,"JAKUBOWICE",95613
"463",250200130,"KLISZ”W",95634
"464",250210110,"RAK”W",95740
"465",250210080,"SADK”W",95745
"466",250210030,"ANNOPOL",95751
"467",250210020,"NOS”W",95752
"468",250220210,"JAROS£AW",95801
"469",250220180,"RADAWA",95807
"470",250220170,"GRODZISKO DOLNE",95808
"471",250220160,"CIEPLICE",95813
"472",250220090,"STALOWA WOLA",95829
"473",250220080,"FRAMPOL",95835
"474",250220060,"ZAKLIK”W",95839
"475",250230130,"FUTORY",95903
